incident_date,company,city,state,zipcode
5/6/15,Tricon Enterprises Inc.,Newark,NJ,07107
1/9/12,D&J Marangi,Newark,NJ,07108
2/15/13,Coba Landscaping & Construction,Belleville,NJ,07109
2/3/15,Suburban Disposal Inc.,Belleville,NJ,07109
2/22/12,Port Newark Container Terminal LLC,Newark,NJ,07114
9/21/15,Portuguese Structural Steel Inc.,Newark,NJ,07114
10/3/15,TNT International LTD,Newark,NJ,07114
8/12/11,Maher Terminals,Elizabeth,NJ,07201
9/30/13,Maher Terminals Inc.,Elizabeth,NJ,07201
8/7/15,APM Terminals,Elizabeth,NJ,07201
4/15/16,DMS Service Inc,Elizabeth,NJ,07201
5/8/13,J & L Auto Body Parts,Elizabeth,NJ,07202
3/11/16,Joint Meeting of Essex and Union Counties,Elizabeth,NJ,07202
11/3/14,Living Right Trucking LLC,Jersey City,NJ,07302
4/20/16,Paco Drywall LLC,Jersey City,NJ,07302
11/30/15,Nicholas Home Improvement,Jersey City,NJ,07304
12/27/15,Wei-Chuan USA Inc,Jersey City,NJ,07304
8/30/11,Active Staffing Services,Jersey City,NJ,07305
4/21/16,Metroliner Inc.,Jersey City,NJ,07305
4/23/11,All American Recycling Corporation,Jersey City,NJ,07307
8/15/16,H&M International Transportation,Jersey City,NJ,07307
6/18/11,SJ Stucco and Stone Inc.,Elmwood Park,NJ,07407
10/15/16,Trustworthy LLC,"Lawn,",NJ,07410
8/3/12,Bergen County Parks Dept.,Mahwah,NJ,07430
11/18/16,GK Brothers Construction LLC,PEQUANNOCK,NJ,07440
10/26/16,Northern Tree Service II,"Ramsey,",NJ,07446
5/21/11,Dynamic Auto Brokers,Sussex,NJ,07461
3/1/17,Green Belt Landscapes Inc,WAYNE,NJ,07470
8/6/12,D.R. Exteriors LLC,West Milford,NJ,07480
11/23/16,Pyramid HVAC LLC,PATERSON,NJ,07501
9/20/11,Al and John,Paterson,NJ,07503
9/15/15,M.T. Handyman,Paterson,NJ,07503
8/31/10,BEJT,Paterson,NJ,07522
4/14/12,D Barro Landscaping Service Inc.,Leonia,NJ,07605
10/14/16,Trinity Welding and Iron Works LLC,"Teterboro,",NJ,07608
12/18/14,BrasUsa Construction LLC,Emerson,NJ,07630
1/21/15,D.O. Productions LLC,Lodi,NJ,07644
7/26/13,321 Commercial Avenue Super King Sauna NJ,Park,NJ,07650
8/3/10,Hardwood Tree Service Corp.,River Edge,NJ,07661
4/22/15,Jon Construction Co. Inc.,Saddle Brook,NJ,07663
3/29/16,Alfred Sanzari Enterprises,Teaneck,NJ,07666
2/19/16,Rcr Home Improvement LLC,Old Tappan,NJ,07675
5/14/10,John McLoughlin General Contractor,Bradley Beach,NJ,07720
11/28/12,GardenState Tree & Lawn LLC,Colts Neck,NJ,07722
6/5/15,Naval Weapons Station Earl,Colts Neck,NJ,07722
9/16/15,Straight Edge Stripping,Colts Neck,NJ,07722
8/3/12,Jersey Central Power & Light Company,Manalapan,NJ,07726
5/17/13,Wemrock Orchards,Manalapan,NJ,07726
4/6/11,Freehold Cartage,Freehold,NJ,07728
5/30/13,Ocean Twp. Public Works,Oakhurst,NJ,07755
10/9/10,Charles Loeffler,Denville,NJ,07834
8/15/16,Allied Painting Inc,Denville,NJ,07834
7/9/10,Cedar Homes Inc.,Flanders,NJ,07836
7/15/10,Bruce J. Koerner Crane & Equipment Inc.,Rockaway,NJ,07866
7/19/13,PCS Wireless LLC,Florham Park,NJ,07932
2/18/16,Boz Electrical Contractors Inc,Whippany,NJ,07981
10/14/14,300 MPW LLC,Cherry Hill,NJ,08002
11/24/10,Baxter Healthcare Corporation,Cherry Hill,NJ,08003
3/22/16,Township of Long Beach,Long Beach Township,NJ,08008
10/24/10,Labor Only Re-Cover,Berlin,NJ,08009
8/30/13,Atlantic City Electric,Turnersville,NJ,08012
7/14/15,Rocco's Collision Center Inc.,Blackwood,NJ,08012
1/7/13,Regal Entertainment Group,Burlington,NJ,08016
9/19/16,The Protocall Group Inc,Burlington,NJ,08016
2/24/15,New Jersey Natural Gas,Stafford Township,NJ,08050
2/15/11,Mayberry Machinery Movers Inc.,Moorestown,NJ,08057
11/5/11,American Biltrite,Moorestown,NJ,08057
2/23/15,Shields Business Solution,Moorestown,NJ,08057
1/2/15,G.C. Zarnas & Company Inc.,Paulsboro,NJ,08066
7/10/12,Leonard Chavarria,Pedricktown,NJ,08067
8/10/13,Frank J. Fazzio & Sons Inc.,Pitman,NJ,08071
4/28/15,Bethel Mill Contracting LLC,Pitman,NJ,08071
3/25/10,AIM Construction,Delran,NJ,08075
1/19/17,Dente Trading Company Inc.,SEWELL,NJ,08080
9/20/16,Foggs Carpet Cleaning LLC,Little Egg Harbor TWP,NJ,08087
4/4/11,Devon Severs dba We Show Up,Shamong,NJ,08088
10/16/14,B D Movers Inc.,Tabernacle,NJ,08088
4/14/16,Russo's Fruit & Vegetable Farm,Tabernacle,NJ,08088
11/2/12,eCullet Inc.,Camden,NJ,08104
3/11/13,Harris Camden Realty Inc.,Camden,NJ,08104
5/17/13,Recommunity Recycling,Camden,NJ,08104
10/25/11,EAL Fig LLC dba 5-Point Tire & Auto Repairs,Camden,NJ,08105
4/7/10,API Construction llc,Oaklyn,NJ,08107
10/27/14,A.B. Painting LLC,Avalon,NJ,08202
7/12/10,Calvi Electric Company,Linwood,NJ,08221
3/27/13,Barralaga's Roofing & Siding,Ocean City,NJ,08226
3/19/10,Hidden Mill Marina Center,Egg Harbor Twp.,NJ,08234
4/28/16,Fairfield Pallet Co. Inc,Bridgeton,NJ,08302
7/19/13,Testwell Craig,Mays Landing,NJ,08330
6/9/10,Fresh Wave LLC,Vineland,NJ,08360
9/15/11,Network Construction Company,Atlantic City,NJ,08401
7/11/11,Tipton Trucking,Bordentown,NJ,08505
10/28/16,Lane's Crane Service,"Cranbury,",NJ,08512
5/20/10,CBI Services,East Windsor,NJ,08520
4/18/13,Landscape Maintenance Services,Jackson,NJ,08527
8/28/11,Princeton First Aid & Rescue,Princeton,NJ,08540
4/18/16,Tri County Security,Trenton,NJ,08601
2/28/16,City of Trenton Police Department,Trenton,NJ,08609
7/5/13,Keystone Automotive Industries Inc.,Lakewood,NJ,08701
2/3/11,Alvan Construction Inc.,Brielle,NJ,08730
8/28/16,Three B's Bar and Bistro,Lakehurst,NJ,08733
4/12/10,Murph South Construction Co. inc.,Seaside Heights,NJ,08751
1/9/15,Suffolk Construction Corp.,Toms River,NJ,08757
3/28/13,NJ Division of Parks and Forestry,Clinton,NJ,08809
1/11/11,Lunar Steel LLC,East Brunswick,NJ,08816
11/6/12,RG Landscaping & Tree Service,East Brunswick,NJ,08816
12/8/16,Universal Processing,BRUNSWICK,NJ,08816
2/3/11,Romero's Construction,Edison,NJ,08818
10/25/12,Tower Maintenance Corp.,Edison,NJ,08818
11/5/12,Lawson Excavating Inc.,Flemington,NJ,08822
8/25/11,Novak Construction,Monroe Twp.,NJ,08831
1/12/16,Lukasz Zborowski LLC,Monroe Township,NJ,08831
9/30/15,Argix Direct Inc.,Jamesburg,NJ,08833
10/30/09,Greenman-Pedersen Inc.,Edison,NJ,08837
2/5/16,Super Max Trucking Corp,Edison,NJ,08837
8/27/16,JP Installation LLC,Edison,NJ,08837
12/14/11,Chanel,Piscataway,NJ,08854
9/8/13,Universal Constructors Inc.,Piscataway,NJ,08854
9/24/15,Edgewood Properties,Piscataway,NJ,08854
9/7/16,Ferraro Foods Inc,Piscataway,NJ,08854
2/22/13,Saddai Inc.,Perth Amboy,NJ,08861
8/24/15,Lucas Construction Group Inc.,Sayreville,NJ,08871
1/27/16,DA Welding Co,Sayreville,NJ,08872
5/4/15,Adonai Contracting LLC,Somerset,NJ,08873
2/17/13,Hydro-Marine Construction Inc.,South Amboy,NJ,08879
11/2/12,Sajoma Fried Chicken,New Brunswick,NJ,08901
1/12/11,Coppa's Service Center & Towing,North Brunswick,NJ,08902
1/3/16,Carriere Consulting Co,North Brunswick,NJ,08902
2/15/16,SW Forage llc,Hesperia,CA,09245
9/27/12,Davey Tree,Livermore,CA,09455
1/21/15,Ocean County Prosecutors Office,Toms River,NJ,09753
4/3/12,J & E Industries LLC,New York,NY,10001
11/4/12,Yukon Enterprise,New York,NY,10002
3/26/15,Sushi Park,New York,NY,10003
7/5/13,Bedford-Carp Construction JV Inc.,New York,NY,10004
